Claim type,"Nutrient substance, food or food category", Claim, Conditions of use of the claim / Restrictions of use / Reasons for non-authorisation, Health relationship, EFSA opinion reference, Commission Regulation, Status, Entry Id
,,,,,2010;8(10):1728,,,
Art.13(1),Biotin,Biotin contributes to normal psychological function,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,contribution to normal psychological functions,2010;8(10):1728,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,120
Art.13(1),Biotin,Biotin contributes to the maintenance of normal hair,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal hair,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"118, 121, 2876"
,,,,,2010;8(10):1728,,,
Art.13(1),Biotin,Biotin contributes to the maintenance of normal mucous membranes,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal skin and mucous membranes,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,115
Art.13(1),Biotin,Biotin contributes to the maintenance of normal skin,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal skin and mucous membranes,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"115, 121"
,,,,,2010;8(10):1728,,,
Art.13(1),Calcium,Calcium contributes to normal blood clotting,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,blood coagulation,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"230, 236"
Art.13(1),Calcium,Calcium contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,energy-yielding metabolism,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,234
Art.13(1),Calcium,Calcium contributes to normal muscle function,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,muscle function and neurotransmission,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"226, 230, 235"
Art.13(1),Calcium,Calcium contributes to normal neurotransmission,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,muscle function and neurotransmission,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"227, 230, 235"
Art.13(1),Calcium,Calcium contributes to the normal function of digestive enzymes,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,function of digestive enzymes,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,355
Art.13(1),Calcium,Calcium has a role in the process of cell division and specialisation,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,regulation of cell division and differentiation,2010;8(10):1725,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,237
Art.13(1),Calcium,Calcium is needed for the maintenance of normal bones,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal bones and teeth,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"224, 230, 350, 354, 2731, 3155, 4311, 4312, 4703, 4704"
,,,,,2009;7(9):1272,,,
,,,,,2010;8(10):1725,,,
,,,,,2011;9(6):2203,,,
Art.13(1),Calcium,Calcium is needed for the maintenance of normal teeth,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal bones and teeth,2009;7(9):1210,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"224, 230, 231, 2731, 3099, 3155, 4311, 4312, 4703, 4704"
,,,,,2010;8(10):1725,,,
,,,,,2011;9(6):2203,,,
Art.13(1),Carbohydrate-electrolyte solutions,Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performance during prolonged endurance exercise,"In order to bear the claim carbohydrate-electrolyte solutions should contain 80 350 kcal/L from carbohydrates, and at least 75 % of the energy should be derived from carbohydrates which induce a high glycaemic response, such as glucose, glucose polymers and sucrose. In addition, these beverages should contain between 20 mmol/L (460 mg/L) and 50 mmol/L (1,150 mg/L) of sodium, and have an osmolality between 200 330 mOsm/kg water.",maintenance of endurance performance,2011;9(6):2211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"466, 469"
Art.13(1),Carbohydrate-electrolyte solutions,Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,"In order to bear the claim carbohydrate-electrolyte solutions should contain 80 350 kcal/L from carbohydrates, and at least 75 % of the energy should be derived from carbohydrates which induce a high glycaemic response, such as glucose, glucose polymers and sucrose. In addition, these beverages should contain between 20 mmol/L (460 mg/L) and 50 mmol/L (1,150 mg/L) of sodium, and have an osmolality between 200 330 mOsm/kg water.",enhancement of water absorption during exercise,2011;9(6):2211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"314, 315, 316, 317, 319, 322, 325, 332, 408, 465, 473, 1168, 1574, 1593, 1618, 4302, 4309"
Art.13(1),Carbohydrates,Carbohydrates contribute to the maintenance of normal brain function,"In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 130 g of carbohydrates from all sources. The claim may be used for food which contains at least 20 g carbohydrates which are metabolised by humans, excluding polyols, per quantified portion and complies with the nutrition claim LOW SUGARS or WITH NO ADDED SUGARS as listed in the Annex to Regulation (EC) No 1924/2006.  					The claim shall not be used on food which is 100% sugars.",Maintenance of normal brain function,2011;9(6):2226,Commission Regulation (EU) 1018/2013 of 23/10/2013,Authorised,"603, 653"
Art.13(1),Chitosan,Chitosan contributes to the maintenance of normal blood cholesterol levels,The claim may be used only for food which provides a daily intake of 3 g of chitosan. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of chitosan.,maintenance of normal blood LDL-cholesterol concentrations,2011;9(6):2214,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,4663
Art.13(1),Chloride,Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,The claim may be used only for food which is at least a source of chloride as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.  					The claim cannot be used on chloride from the source sodium chloride,contribution to normal digestion by production of hydrochloric acid in the stomach,2010;8(10):1764,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,326
Art.13(1),Choline,Choline contributes to normal homocysteine metabolism,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",Contribution to normal homocysteine metabolism,2011;9(4):2056,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,3090
Art.13(1),Choline,Choline contributes to normal lipid metabolism,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",Contribution to normal lipid metabolism,2011;9(4):2056,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,3186
Art.13(1),Choline,Choline contributes to the maintenance of normal liver function,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",Maintenance of normal liver function,2011;9(4):2056,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"712, 1501, 1633"
,,,,,2011;9(6):2203,,,
Art.13(1),Chromium,Chromium contributes to normal macronutrient metabolism,The claim may be used only for food which is at least a source of trivalent chromium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,contribution to normal macronutrient metabolism,2010;8(10):1732,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"260, 401, 4665, 4666, 4667"
Art.13(1),Chromium,Chromium contributes to the maintenance of normal blood glucose levels,The claim may be used only for food which is at least a source of trivalent chromium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of normal blood glucose concentrations,2010;8(10):1732,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"262, 4667, 4698"
,,,,,2011;9(6):2203,,,
Art.13(1),Hydroxypropyl methylcellulose (HPMC),Consumption of Hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal,The claim may be used only for food which contains 4 g of HPMC per quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming 4 g of HPMC as part of the meal.  					Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.,reduction of post-prandial glycaemic responses,2010;8(10):1739,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,814
Art.13(1),Alpha-cyclodextrin,Consumption of alpha-cyclodextrin as part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,The claim may be used for food which contains at least 5 g of alpha-cyclodextrin per 50 g of starch in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the alpha-cyclodextrin as part of the meal.,Reduction of post-prandial glycaemic responses,2010;8(2):1479,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,2926
,,,,,2012;10(6):2713,,,
Art.13(1),Arabinoxylan produced from wheat endosperm,Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal,The claim may be used only for food which contains at least 8 g of arabinoxylan (AX)-rich fibre produced from wheat endosperm (at least 60 % AX by weight) per 100 g of available carbohydrates in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the arabinoxylan (AX)-rich fibre produced from wheat endosperm as part of the meal.,reduction of post-prandial glycaemic responses,2011;9(6):2205,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,830
Art.13(1),Beta-glucans from oats and barley,Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal,The claim may be used only for food which contains at least 4 g of beta-glucans from oats or barley for each 30 g of available carbohydrates in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the beta-glucans from oats or barley as part of the meal.,reduction of post-prandial glycaemic responses,2011;9(6):2207,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"821, 824"
Art.13(1),Fructose,Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose,"In order to bear the claim, glucose and/or sucrose should be replaced by fructose in sugar-sweetened foods or drinks so that the reduction in content of glucose and/or sucrose, in these foods or drinks, is at least 30%.",Reduction of post-prandial glycaemic responses,2011;9(6):2223,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,558
Art.13(1),"Sugar replacers, i.e. intense sweeteners;
xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose and polydextrose; D-tagatose and isomaltulose","Consumption of foods/drinks containing &lt;name of sugar replacer&gt; instead of sugar* contributes to the maintenance of tooth mineralisation

* In the case of D-tagatose and isomaltulose this should read ""other sugars""","In order to bear the claim, sugars should be replaced in foods or drinks (which reduce plaque pH below 5.7) by sugar replacers, i.e. intense sweeteners, xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, D-tagatose, isomaltulose, sucralose or polydextrose, or a combination of them, in amounts such that consumption of such foods or drinks does not lower plaque pH below 5.7 during and up to 30 minutes after consumption",maintenance of tooth mineralisation by decreasing tooth demineralisation,2011;9(4):2076,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"463, 464, 563, 618, 647, 1134, 1167, 1182, 1283, 1591, 2907, 2921, 4300"
,,,,,2011;9(6):2229,,,
Art.13(1),"Sugar replacers, i.e. intense sweeteners;
xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose and polydextrose; D-tagatose and isomaltulose","Consumption of foods/drinks containing &lt;name of sugar replacer&gt; instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks

* In the case of D-tagatose and isomaltulose this should read ""other sugars""","In order to bear the claim, sugars should be replaced in foods or drinks by sugar replacers, i.e. intense sweeteners, xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose or polydextrose, or a combination of them, so that foods or drinks contain reduced amounts of sugars by at least the amount referred to in the claim REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.

In the case of D-tagatose and isomaltulose, they should replace equivalent amounts of other sugars in the same proportion as that referred to in the claim REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.",reduction of post-prandial glycaemic responses,2011;9(4):2076,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"617, 619, 669, 1590, 1762, 2903, 2908, 2920, 4298"
,,,,,2011;9(6):2229,,,
Art.13(1),Pectins,Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,"The claim may be used only for food which contains 10 g of pectins per quantified portion. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained by consuming 10 g of pectins as part of the meal.  					Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.",Reduction of post-prandial glycaemic responses,2010;8(10):1747,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,786
Art.13(1),Copper,Copper contributes to maintenance of normal connective tissues,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of connective tissues,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"265, 271, 1722"
Art.13(1),Copper,Copper contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006,Contribution to normal energy-yielding metabolism,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"266, 1729"
,,,,,2011;9(4):2079,,,
Art.13(1),Copper,Copper contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,Maintenance of the normal function of the nervous system,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"267, 1723"
,,,,,2011;9(4):2079,,,
Art.13(1),Copper,Copper contributes to normal hair pigmentation,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of skin and hair pigmentation,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"268, 1724"
Art.13(1),Copper,Copper contributes to normal iron transport in the body,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,iron transport,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"269, 270, 1727"
Art.13(1),Copper,Copper contributes to normal skin pigmentation,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of skin and hair pigmentation,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"268, 1724"
Art.13(1),Copper,Copper contributes to the normal function of the immune system,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,Maintenance of the normal function of the immune system,2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"264, 1725"
,,,,,2011;9(4):2079,,,
Art.13(1),Copper,Copper contributes to the protection of cells from oxidative stress,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,"protection of DNA, proteins and lipids from oxidative damage",2009;7(9):1211,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"263, 1726"
Art.13(1),Creatine,"Creatine increases physical performance in successive bursts of short-term, high intensity exercise",The claim may be used only for food which provides a daily intake of 3 g of creatine. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of creatine.  					The claim may be used only for foods targeting adults performing high intensity exercise,"increase in physical performance during short-term, high intensity, repeated exercise bouts",2011;9(7):2303,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"739, 1520, 1521, 1522, 1523, 1525, 1526, 1531, 1532, 1533, 1534, 1922, 1923, 1924"
Art.13(1),Docosahexaenoic acid and Eicosapentaenoic acid (DHA/EPA),DHA and EPA contribute to the maintenance of normal blood pressure,"The claim may be used only for food which provides a daily intake of 3 g of EPA and DHA. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of EPA and DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.  					The claim shall not be used for foods targeting children.",Maintenance of normal blood pressure,2009; 7(9); 1263,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,"502, 506, 516, 703, 1317, 1324"
,,,,,2010;8(10):1796,,,
Art.13(1),Docosahexaenoic acid and Eicosapentaenoic acid (DHA/EPA),DHA and EPA contribute to the maintenance of normal blood triglyceride levels,"The claim may be used only for food which provides a daily intake of 2 g of EPA and DHA. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of EPA and DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.  					The claim shall not be used for foods targeting children.",Maintenance of normal (fasting) blood concentrations of triglycerides,2009; 7(9); 1263,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,"506, 517, 527, 538, 1317, 1324, 1325"
,,,,,2010;8(10):1796,,,
Art.13(1),Docosahexaenoic acid (DHA),DHA contributes to maintenance of normal brain function,The claim may be used only for food which contains at least 40 mg of DHA per 100 g and per 100 kcal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of DHA.,maintenance of normal brain function,2010;8(10):1734,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"497, 501, 510, 513, 519, 521, 534, 540, 565, 626, 631, 688, 689, 690, 704, 742, 1323, 1360, 3148, 3151, 4294"
,,,,,2011;9(4):2078,,,
Art.13(1),Docosahexaenoic acid (DHA),DHA contributes to the maintenance of normal blood triglyceride levels,"The claim may be used only for food which provides a daily intake of 2 g of DHA and which contains DHA in combination with eicosapentaenoic acid (EPA). In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.  					The claim shall not be used for foods targeting children.",Maintenance of normal (fasting) blood concentrations of triglycerides,2010;8(10):1734,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,"533, 691, 3150"
Art.13(1),Docosahexaenoic acid (DHA),DHA contributes to the maintenance of normal vision,The claim may be used only for food which contains at least 40 mg of DHA per 100 g and per 100 kcal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of DHA.,maintenance of normal vision,2010;8(10):1734,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"508, 510, 513, 519, 529, 540, 627, 632, 688, 743, 2905, 3149, 4294"
,,,,,2011;9(4):2078,,,
Art.13(1),Dried plums of 'prune' cultivars (<em>Prunus domestica</em> L.),Dried plums/prunes contribute to normal bowel function,"The claim may be used only for food which provides a daily intake of 100 g of dried plums (prunes). In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 100 g of dried plums (prunes).",Maintenance of normal bowel function,2010;8(2):1486,Commission Regulation (EU) 536/2013 of 11/06/2013,Authorised,1164
,,,,,2012;10(6):2712,,,
Art.13(1),Eicosapentaenoic acid and docosahexaenoic acid (EPA/DHA),EPA and DHA contribute to the normal function of the heart,The claim may be used only for food which is at least a source of EPA and DHA as referred to in the claim SOURCE OF OMEGA 3 FATTY ACIDS as listed in the Annex to Regulation (EC) No 1924/2006. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of EPA and DHA.,maintenance of normal cardiac function,2010;8(10):1796,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"504, 506, 510, 516, 527, 538, 688, 703, 1128, 1317, 1324, 1325, 1360"
,,,,,2011;9(4):2078,,,
Art.13(1),Fluoride,Fluoride contributes to the maintenance of tooth mineralisation,The claim may be used only for food which is at least a source of fluoride as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,maintenance of tooth mineralisation,2009;7(9):1212,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"275, 276, 338, 4238"
,,,,,2010;8(10):1797,,,
Art.13(1),Folate,Folate contributes to maternal tissue growth during pregnancy,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006,maternal tissue growth during pregnancy,2009;7(9):1213,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,2882
Art.13(1),Folate,Folate contributes to normal amino acid synthesis,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,contribution to normal amino acid synthesis,2010;8(10):1760,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"195, 2881"
Art.13(1),Folate,Folate contributes to normal blood formation,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,blood formation,2009;7(9):1213,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,79
Art.13(1),Folate,Folate contributes to normal homocysteine metabolism,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,homocysteine metabolism,2009;7(9):1213,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,80
Art.13(1),Folate,Folate contributes to normal psychological function,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,contribution to normal psychological functions,2010;8(10):1760,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"81, 85, 86, 88"
